23667	б.
15872	ж.
11365	Б.
9624	А.
6268	Ф.
4990	К.
4977	М.
4211	В.
3835	С.
3657	И.
3380	О.
2992	ж.б.
2765	Т.
2401	Н.
2358	Г.
2333	Ж.
2126	к.
1966	Ү.
1905	Д.
1894	с.
1789	т.
1741	П.
1721	м.
1524	а.
1405	Э.
1231	Л.
1213	Р.
1132	Ш.
1089	ч.
1041	з.
843	Ч.
678	У.
674	о.
612	ш.
595	Ш.М.
512	Е.
473	Ө.
469	и.
434	Ю.
385	у.
365	Х.
338	б.а.
333	э.
298	Б.Ч.
297	Б.Ш.
293	г.
284	п.
274	ө.
232	д.
230	А.А.
194	З.
188	Ы.
179	б.з.ч.
177	б.т.
148	п.л.
130	Ү.А.
117	В.И.
114	Ц.
106	В.В.
103	Ө.Ж.
91	к.ж.
89	Й.
87	н.
85	А.С.
83	С.М.
79	х.
77	б.з.
75	р.
72	А.Н.
71	Н.А.
70	К.И.
70	ж.б.у.с.
69	ф.
60	Т.К.
54	А.П.
52	к.н.
45	л.
43	ж.у.с.
40	в.
40	Б.з.ч.
38	М.В.
38	А.В.
37	А.М.
34	А.И.
33	Л.Н.
32	ү.
32	С.А.
31	Т.Н.
28	Н.Н.
28	В.А.
27	т.а.
27	К.н.
27	И.В.
26	М.И.
26	д.у.с.
25	ы.
25	Н.М.
23	С.Е.
23	Н.В.
23	Б.У.
22	В.Г.
21	Л.А.
21	Г.Н.
21	В.М.
19	С.В.
19	Л.П.
19	К.П.
19	Д.И.
19	Б.М.
19	А.Г.
18	Б.С.
18	А.Ж.
17	И.А.
16	ц.
16	о.э.
16	Н.Ф.
16	М.С.
16	М.Д.
16	М.А.
16	Д.А.
16	А.К.
16	а.и.
15	Ю.А.
15	У.Н.
15	С.Г.
15	Н.И.
15	М.Т.
15	ж.ж.
15	Д.Г.
15	А.Д.
14	П.И.
14	Н.К.
14	Г.А.
14	Б.а.
14	А.Е.
13	Ю.С.
13	С.П.
13	М.Е.
13	И.И.
13	В.Ф.
13	В.П.
12	С.Д.
