LOWER	_	_	_	_
NFKC	_	_	_	_
REPL	.	_	_	_
REPL	,	_	_	_
REPL	!	_	_	_
REPL	?	_	_	_
REPL	-	_	_	_
REPL	â	a	00e2	0061
REPL	é	e	00e9	0065
REPL	è	e	00e8	0065
REPL	ê	e	00ea	0065
REPL	ó	o	00f3	006f
REPL	ò	o	00f2	006f
REPL	ô	o	00f4	006f
ALLOW	a	_	0061	_
ALLOW	b	_	0062	_
ALLOW	c	_	0063	_
ALLOW	d	_	0064	_
ALLOW	e	_	0065	_
ALLOW	f	_	0066	_
ALLOW	g	_	0067	_
ALLOW	h	_	0068	_
ALLOW	i	_	0069	_
ALLOW	j	_	006a	_
ALLOW	k	_	006b	_
ALLOW	l	_	006c	_
ALLOW	m	_	006d	_
ALLOW	n	_	006e	_
ALLOW	o	_	006f	_
ALLOW	p	_	0070	_
ALLOW	q	_	0071	_
ALLOW	r	_	0072	_
ALLOW	s	_	0073	_
ALLOW	t	_	0074	_
ALLOW	u	_	0075	_
ALLOW	v	_	0076	_
ALLOW	w	_	0077	_
ALLOW	x	_	0078	_
ALLOW	y	_	0079	_
ALLOW	z	_	007a	_
ALLOW	æ	_	00e6	_
ALLOW	å	_	00e5	_
ALLOW	ø	_	00f8	_
ALLOW	_	_	0020	_
