NFKC	_	_
ALLOW	ሀ	_
ALLOW	ሁ	_
ALLOW	ሂ	_
ALLOW	ሃ	_
ALLOW	ሄ	_
ALLOW	ህ	_
ALLOW	ሆ	_
ALLOW	ለ	_
ALLOW	ሉ	_
ALLOW	ሊ	_
ALLOW	ላ	_
ALLOW	ሌ	_
ALLOW	ል	_
ALLOW	ሎ	_
ALLOW	ሏ	_
ALLOW	ሐ	_
ALLOW	ሑ	_
ALLOW	ሒ	_
ALLOW	ሓ	_
ALLOW	ሔ	_
ALLOW	ሕ	_
ALLOW	ሖ	_
ALLOW	ሗ	_
ALLOW	መ	_
ALLOW	ሙ	_
ALLOW	ሚ	_
ALLOW	ማ	_
ALLOW	ሜ	_
ALLOW	ም	_
ALLOW	ሞ	_
ALLOW	ሟ	_
ALLOW	ሠ	_
ALLOW	ሡ	_
ALLOW	ሢ	_
ALLOW	ሣ	_
ALLOW	ሤ	_
ALLOW	ሥ	_
ALLOW	ሦ	_
ALLOW	ሧ	_
ALLOW	ረ	_
ALLOW	ሩ	_
ALLOW	ሪ	_
ALLOW	ራ	_
ALLOW	ሬ	_
ALLOW	ር	_
ALLOW	ሮ	_
ALLOW	ሯ	_
ALLOW	ሰ	_
ALLOW	ሱ	_
ALLOW	ሲ	_
ALLOW	ሳ	_
ALLOW	ሴ	_
ALLOW	ስ	_
ALLOW	ሶ	_
ALLOW	ሷ	_
ALLOW	ሸ	_
ALLOW	ሹ	_
ALLOW	ሺ	_
ALLOW	ሻ	_
ALLOW	ሼ	_
ALLOW	ሽ	_
ALLOW	ሾ	_
ALLOW	ሿ	_
ALLOW	ቀ	_
ALLOW	ቁ	_
ALLOW	ቂ	_
ALLOW	ቃ	_
ALLOW	ቄ	_
ALLOW	ቅ	_
ALLOW	ቆ	_
ALLOW	ቈ	_
ALLOW	ቊ	_
ALLOW	ቋ	_
ALLOW	ቌ	_
ALLOW	ቍ	_
ALLOW	በ	_
ALLOW	ቡ	_
ALLOW	ቢ	_
ALLOW	ባ	_
ALLOW	ቤ	_
ALLOW	ብ	_
ALLOW	ቦ	_
ALLOW	ቧ	_
ALLOW	ቨ	_
ALLOW	ቩ	_
ALLOW	ቪ	_
ALLOW	ቫ	_
ALLOW	ቬ	_
ALLOW	ቭ	_
ALLOW	ቮ	_
ALLOW	ቯ	_
ALLOW	ተ	_
ALLOW	ቱ	_
ALLOW	ቲ	_
ALLOW	ታ	_
ALLOW	ቴ	_
ALLOW	ት	_
ALLOW	ቶ	_
ALLOW	ቷ	_
ALLOW	ቸ	_
ALLOW	ቹ	_
ALLOW	ቺ	_
ALLOW	ቻ	_
ALLOW	ቼ	_
ALLOW	ች	_
ALLOW	ቾ	_
ALLOW	ቿ	_
ALLOW	ኀ	_
ALLOW	ኁ	_
ALLOW	ኂ	_
ALLOW	ኃ	_
ALLOW	ኄ	_
ALLOW	ኅ	_
ALLOW	ኆ	_
ALLOW	ኈ	_
ALLOW	ኊ	_
ALLOW	ኋ	_
ALLOW	ኌ	_
ALLOW	ኍ	_
ALLOW	ነ	_
ALLOW	ኑ	_
ALLOW	ኒ	_
ALLOW	ና	_
ALLOW	ኔ	_
ALLOW	ን	_
ALLOW	ኖ	_
ALLOW	ኗ	_
ALLOW	ኘ	_
ALLOW	ኙ	_
ALLOW	ኚ	_
ALLOW	ኛ	_
ALLOW	ኜ	_
ALLOW	ኝ	_
ALLOW	ኞ	_
ALLOW	ኟ	_
ALLOW	አ	_
ALLOW	ኡ	_
ALLOW	ኢ	_
ALLOW	ኣ	_
ALLOW	ኤ	_
ALLOW	እ	_
ALLOW	ኦ	_
ALLOW	ኧ	_
ALLOW	ከ	_
ALLOW	ኩ	_
ALLOW	ኪ	_
ALLOW	ካ	_
ALLOW	ኬ	_
ALLOW	ክ	_
ALLOW	ኮ	_
ALLOW	ኰ	_
ALLOW	ኲ	_
ALLOW	ኳ	_
ALLOW	ኴ	_
ALLOW	ኵ	_
ALLOW	ኸ	_
ALLOW	ኹ	_
ALLOW	ኺ	_
ALLOW	ኻ	_
ALLOW	ኼ	_
ALLOW	ኽ	_
ALLOW	ኾ	_
ALLOW	ዀ	_
ALLOW	ዂ	_
ALLOW	ዃ	_
ALLOW	ዄ	_
ALLOW	ዅ	_
ALLOW	ወ	_
ALLOW	ዉ	_
ALLOW	ዊ	_
ALLOW	ዋ	_
ALLOW	ዌ	_
ALLOW	ው	_
ALLOW	ዎ	_
ALLOW	ዐ	_
ALLOW	ዑ	_
ALLOW	ዒ	_
ALLOW	ዓ	_
ALLOW	ዔ	_
ALLOW	ዕ	_
ALLOW	ዖ	_
ALLOW	ዘ	_
ALLOW	ዙ	_
ALLOW	ዚ	_
ALLOW	ዛ	_
ALLOW	ዜ	_
ALLOW	ዝ	_
ALLOW	ዞ	_
ALLOW	ዟ	_
ALLOW	ዠ	_
ALLOW	ዡ	_
ALLOW	ዢ	_
ALLOW	ዣ	_
ALLOW	ዤ	_
ALLOW	ዥ	_
ALLOW	ዦ	_
ALLOW	ዧ	_
ALLOW	የ	_
ALLOW	ዩ	_
ALLOW	ዪ	_
ALLOW	ያ	_
ALLOW	ዬ	_
ALLOW	ይ	_
ALLOW	ዮ	_
ALLOW	ደ	_
ALLOW	ዱ	_
ALLOW	ዲ	_
ALLOW	ዳ	_
ALLOW	ዴ	_
ALLOW	ድ	_
ALLOW	ዶ	_
ALLOW	ዷ	_
ALLOW	ጀ	_
ALLOW	ጁ	_
ALLOW	ጂ	_
ALLOW	ጃ	_
ALLOW	ጄ	_
ALLOW	ጅ	_
ALLOW	ጆ	_
ALLOW	ጇ	_
ALLOW	ገ	_
ALLOW	ጉ	_
ALLOW	ጊ	_
ALLOW	ጋ	_
ALLOW	ጌ	_
ALLOW	ግ	_
ALLOW	ጎ	_
ALLOW	ጐ	_
ALLOW	ጒ	_
ALLOW	ጓ	_
ALLOW	ጔ	_
ALLOW	ጕ	_
ALLOW	ጠ	_
ALLOW	ጡ	_
ALLOW	ጢ	_
ALLOW	ጣ	_
ALLOW	ጤ	_
ALLOW	ጥ	_
ALLOW	ጦ	_
ALLOW	ጧ	_
ALLOW	ጨ	_
ALLOW	ጩ	_
ALLOW	ጪ	_
ALLOW	ጫ	_
ALLOW	ጬ	_
ALLOW	ጭ	_
ALLOW	ጮ	_
ALLOW	ጯ	_
ALLOW	ጰ	_
ALLOW	ጱ	_
ALLOW	ጲ	_
ALLOW	ጳ	_
ALLOW	ጴ	_
ALLOW	ጵ	_
ALLOW	ጶ	_
ALLOW	ጷ	_
ALLOW	ጸ	_
ALLOW	ጹ	_
ALLOW	ጺ	_
ALLOW	ጻ	_
ALLOW	ጼ	_
ALLOW	ጽ	_
ALLOW	ጾ	_
ALLOW	ጿ	_
ALLOW	ፀ	_
ALLOW	ፁ	_
ALLOW	ፂ	_
ALLOW	ፃ	_
ALLOW	ፄ	_
ALLOW	ፅ	_
ALLOW	ፆ	_
ALLOW	ፈ	_
ALLOW	ፉ	_
ALLOW	ፊ	_
ALLOW	ፋ	_
ALLOW	ፌ	_
ALLOW	ፍ	_
ALLOW	ፎ	_
ALLOW	ፏ	_
ALLOW	ፐ	_
ALLOW	ፑ	_
ALLOW	ፒ	_
ALLOW	ፓ	_
ALLOW	ፔ	_
ALLOW	ፕ	_
ALLOW	ፖ	_
ALLOW	ፗ	_
ALLOW	_	_
